text,sentiment,type
爛透了！這個社群,0.16,negative
還好啦！這家店,0.44,neutral
這個老師我直接吹爆,0.95,positive
超級棒的啦！這個功能,0.73,positive
根本是詐騙！這個社群,0.09,negative
踩雷了啦！這個更新,0.25,negative
這個外送氣死人了,0.28,negative
哇塞厲害了,0.26,sarcastic
還行啦！這個系統,0.46,neutral
完全看不出有什麼缺點！這個介面,0.9,positive
這個遊戲根本是詐騙,0.12,negative
這個更新這也太扯了吧,0.25,negative
這個商品真的很可以,0.74,positive
用了就愛上！這支影片,0.98,positive
太專業了吧！這個老師,0.32,sarcastic
這個博主普通啦,0.47,neutral
還算ok！這家店,0.51,neutral
超級雷包！這個設計,0.02,negative
這支影片太誇張了吧,0.15,negative
太專業了吧,0.16,sarcastic
根本就是救星！這個主播,0.73,positive
這個直播還算ok,0.58,neutral
這個更新退錢啦,0.25,negative
爛透了！這個系統,0.05,negative
真的超讚der！這個客服,0.75,positive
這個設計這也太扯了吧,0.13,negative
這個社群真的超讚der,0.82,positive
這個客服難用死了,0.28,negative
超級無敵讚！這個客服,0.94,positive
隨便啦,0.2,sarcastic
這個商品還可以啦,0.64,neutral
這個設計完全不推好吧,0.25,negative
那你很厲害哦,0.36,sarcastic
這個客服這個真心推薦,0.97,positive
這不行啊！這個平台,0.07,negative
這家餐廳看情況吧,0.36,neutral
whatever啦,0.32,sarcastic
這個課程一般般,0.35,neutral
這個配送這不行啊,0.07,negative
這款APP普普通通,0.58,neutral
有優點也有缺點！這款手機,0.36,neutral
這個博主用了就愛上,0.87,positive
還算ok！這個外送,0.47,neutral
好厲害喔,0.25,sarcastic
根本是智障設計！這款APP,0.16,negative
這家店還可以啦,0.41,neutral
一般般！這個遊戲,0.34,neutral
超大雷！這個老師,0.19,negative
這個直播難用死了,0.19,negative
這個平台用了就愛上,0.78,positive
真是傑作啊,0.28,sarcastic
有優點也有缺點！這個直播,0.36,neutral
這個社群爛透了啦,0.12,negative
這個配送見仁見智吧,0.3,neutral
真的很可以！這個設計,0.99,positive
超乎期待！這支影片,0.89,positive
這個版本真是太有水準了,0.17,sarcastic
完全沒話說！這個商品,0.91,positive
哇塞厲害了,0.29,sarcastic
這個直播超級雷包,0.08,negative
看情況吧！這個主播,0.52,neutral
這個介面還算ok,0.47,neutral
真的很可以！這家店,0.88,positive
根本是詐騙！這個設計,0.25,negative
好厲害喔,0.31,sarcastic
完全不推好吧！這個平台,0.27,negative
完全沒話說！這支影片,0.94,positive
隨便啦！這個外送,0.16,sarcastic
這個遊戲真的很可以,0.78,positive
