text,sentiment,type
普通啦！這款手機,0.31,neutral
這個商品有優點也有缺點,0.35,neutral
這個設計簡直是神器,0.81,positive
也就這樣！這家餐廳,0.53,neutral
這個社群超大雷,0.22,negative
這個主播不算差但也不算好,0.5,neutral
氣死人了！這個遊戲,0.14,negative
爛透了啦！這個主播,0.19,negative
反正你最厲害,0.18,sarcastic
這家店普普通通,0.48,neutral
真的超讚der！這個配送,0.89,positive
看情況吧！這家店,0.31,neutral
是是是你說得對,0.23,sarcastic
看你要怎麼想！這個介面,0.39,neutral
這個介面湊合著用,0.39,neutral
真的很可以！這家餐廳,0.75,positive
這支影片看情況吧,0.38,neutral
沒錯就是這樣呢！這個社群,0.27,sarcastic
這個客服太強了吧,0.92,positive
太強了吧！這個博主,0.96,positive
這個遊戲湊合著用,0.67,neutral
這個博主真的很可以,0.83,positive
看你要怎麼想！這款手機,0.68,neutral
完全沒話說！這款手機,0.92,positive
可不就是這樣,0.18,sarcastic
這個客服根本垃圾,0.24,negative
不推不推！這個介面,0.27,negative
普通啦！這個直播,0.6,neutral
這個系統不推不推,0.21,negative
這款手機凱子啦,0.32,neutral
這家店真是傑作啊,0.38,sarcastic
這支影片簡直是神器,0.96,positive
這支影片不推不推,0.03,negative
難用死了！這個商品,0.08,negative
高手高手！這個社群,0.23,sarcastic
這個功能真的很可以,0.8,positive
這個老師還可以啦,0.43,neutral
真的很可以！這個平台,0.78,positive
這款手機還好啦,0.42,neutral
這個功能退錢啦,0.19,negative
馬馬虎虎！這家餐廳,0.56,neutral
好棒棒哦,0.35,sarcastic
我也是這樣覺得呢,0.3,sarcastic
這個主播這什麼爛東西,0.11,negative
超大雷！這個博主,0.01,negative
這家餐廳太強了吧,0.9,positive
我也是這樣覺得呢,0.29,sarcastic
誰理你啊,0.28,sarcastic
超級雷！這個主播,0.08,negative
這個設計好用到哭,0.92,positive
這個更新可以考慮,0.53,neutral
是是是你說得對,0.16,sarcastic
真的是浪費時間！這個主播,0.01,negative
這個課程真是傑作啊,0.3,sarcastic
這不行啊！這支影片,0.23,negative
見仁見智吧！這個服務,0.64,neutral
這個服務普普通通,0.55,neutral
這個配送超級無敵讚,0.79,positive
這個商品有夠糟糕,0.11,negative
這個博主凱子啦,0.41,neutral
高手高手！這個更新,0.24,sarcastic
真是傑作啊,0.32,sarcastic
